,Image Name,Compression Name,Quality Factor,Compression Rate (uncompressed image size / compressed file size),Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
120,landscape_el_capitain_with_night_sky.webp,baseline_jpeg_q80.yaml,80,1.746,972,cliff,0.45,0.47,0.055
121,landscape_hill.png,baseline_jpeg_q80.yaml,80,0.094,984,rapeseed,0.25,0.21,0.143
122,landscape_iceberg.webp,baseline_jpeg_q80.yaml,80,1.566,296,ice bear,0.17,0.13,0.268
123,landscape_kitchen.jpg,baseline_jpeg_q80.yaml,80,1.308,905,window shade,0.34,0.33,0.027
124,subject_Brooklyn_bridge.webp,baseline_jpeg_q80.yaml,80,1.213,718,pier,0.88,0.88,0.004
125,subject_bunny.tif,baseline_jpeg_q80.yaml,80,0.072,330,wood rabbit,0.51,0.54,0.071
126,subject_cat.webp,baseline_jpeg_q80.yaml,80,1.338,281,tabby,0.75,0.76,0.013
127,subject_flowers.webp,baseline_jpeg_q80.yaml,80,1.063,883,vase,0.45,0.43,0.03
128,subject_jellyfish.png,baseline_jpeg_q80.yaml,80,0.083,107,jellyfish,1.0,1.0,0.0
129,subject_partial_dog.webp,baseline_jpeg_q80.yaml,80,2.188,253,basenji,0.17,0.17,0.042
130,subject_puppy.png,baseline_jpeg_q80.yaml,80,0.104,207,golden retriever,0.94,0.95,0.004
131,subject_radio.webp,baseline_jpeg_q80.yaml,80,0.195,754,radio,0.97,0.97,0.002
