,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Norm N,Luma Quantization Max,Luma Quantization Min,Chroma Quantization Max,Chroma Quantization Min,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
57,landscape_el_capitain_with_night_sky.webp,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,38.185,4.491,5.821,0.008,106,606,1183,11,2,1307,738,972,cliff,0.45,0.32,0.274
58,landscape_hill.png,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,249.764,14.089,15.419,0.019,221,1492,3113,77,5,5059,2045,984,rapeseed,0.25,0.25,0.014
59,landscape_iceberg.webp,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,18.581,7.105,8.434,0.028,30,163,226,6,2,378,147,296,ice bear,0.17,0.09,0.482
60,subject_Brooklyn_bridge.webp,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,83.277,14.497,15.826,0.031,99,404,716,19,3,1324,425,718,pier,0.88,0.86,0.018
61,subject_bunny.tif,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,543.527,12.307,13.637,0.025,21,2383,5103,112,4,8338,2941,330,wood rabbit,0.51,0.45,0.106
62,subject_cat.webp,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,17.725,8.086,9.414,0.025,29,166,252,5,3,404,146,281,tabby,0.75,0.68,0.083
63,subject_flowers.webp,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,37.813,9.901,11.23,0.014,78,406,763,11,2,1031,507,883,vase,0.45,0.46,0.023
64,subject_greenroom.tif,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,427.069,15.593,16.923,0.02,22,2349,4883,89,5,7643,2931,526,desk,0.67,0.73,0.09
65,subject_jellyfish.png,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,22.411,10.552,11.882,0.008,80,497,945,7,3,913,572,107,jellyfish,1.0,1.0,0.0
66,subject_partial_dog.webp,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,9.479,5.003,6.331,0.015,27,191,233,3,1,267,143,253,basenji,0.17,0.12,0.317
67,subject_puppy.png,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,60.043,12.522,13.853,0.015,82,564,1139,14,4,1467,670,207,golden retriever,0.94,0.97,0.028
68,subject_racecar.tif,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,179.22,14.683,16.013,0.009,20,2404,4700,43,5,5701,2920,573,go-kart,0.83,0.78,0.058
69,subject_radio.webp,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,172.779,18.735,20.065,0.047,130,442,988,38,5,2423,542,754,radio,0.97,0.92,0.057
70,landscape_crowd.tif,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,115.386,8.215,9.553,0.006,21,2409,4704,27,3,4582,2920,981,ballplayer,0.16,0.08,0.518
71,landscape_el_capitain_with_night_sky.webp,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,22.673,2.699,4.037,0.005,106,615,1216,6,0,1098,747,972,cliff,0.45,0.35,0.212
72,landscape_hill.png,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,106.368,8.774,10.112,0.008,228,1519,2966,24,3,3515,1889,984,rapeseed,0.25,0.21,0.131
73,landscape_iceberg.webp,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,9.98,4.428,5.764,0.016,30,154,222,3,0,268,148,296,ice bear,0.17,0.03,0.8
74,subject_Brooklyn_bridge.webp,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,46.437,9.534,10.871,0.018,97,371,691,12,2,1043,423,718,pier,0.88,0.81,0.077
75,subject_bunny.tif,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,302.371,8.169,9.507,0.014,25,2385,4858,68,3,6537,3168,330,wood rabbit,0.51,0.46,0.099
76,subject_cat.webp,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,9.729,5.393,6.729,0.015,30,173,242,3,1,294,153,281,tabby,0.75,0.69,0.081
77,subject_flowers.webp,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,23.703,6.043,7.38,0.009,79,407,748,6,2,834,474,883,vase,0.45,0.51,0.149
78,subject_greenroom.tif,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,214.414,9.914,11.252,0.01,24,2382,4852,47,4,6155,2987,526,desk,0.67,0.77,0.143
79,subject_jellyfish.png,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,16.011,6.297,7.635,0.006,71,500,887,6,2,826,572,107,jellyfish,1.0,1.0,0.0
80,subject_partial_dog.webp,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,6.37,3.217,4.553,0.01,27,178,233,3,1,232,145,253,basenji,0.17,0.05,0.698
81,subject_puppy.png,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,31.379,8.308,9.646,0.008,82,564,1121,10,2,1164,712,207,golden retriever,0.94,0.97,0.029
82,subject_racecar.tif,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,124.579,9.286,10.624,0.006,21,2366,4630,51,4,4964,2922,573,go-kart,0.83,0.81,0.02
83,subject_radio.webp,L2_quantization_agressive.yaml,2,8,2.0,100,30,125,40,102.435,12.19,13.528,0.029,112,459,919,23,3,1687,546,754,radio,0.97,0.88,0.099
84,landscape_crowd.tif,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,354.766,36.797,38.089,0.018,20,2396,4785,78,8,7363,2962,981,ballplayer,0.16,0.13,0.18
85,landscape_el_capitain_with_night_sky.webp,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,124.939,12.849,14.141,0.025,114,655,1317,28,3,2052,748,972,cliff,0.45,0.36,0.199
86,landscape_hill.png,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,691.143,30.07,31.362,0.052,236,1467,3305,152,10,9143,1944,984,rapeseed,0.25,0.25,0.023
87,landscape_iceberg.webp,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,54.082,16.847,18.137,0.075,30,173,247,13,3,702,131,296,ice bear,0.17,0.15,0.14
88,subject_Brooklyn_bridge.webp,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,206.629,37.736,39.027,0.078,89,371,803,44,9,2760,425,718,pier,0.88,0.88,0.0
89,subject_bunny.tif,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,1399.799,29.675,30.967,0.065,22,2382,5876,323,12,18170,2973,330,wood rabbit,0.51,0.51,0.005
90,subject_cat.webp,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,46.051,18.402,19.692,0.06,31,182,273,12,3,643,148,281,tabby,0.75,0.77,0.033
91,subject_flowers.webp,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,109.805,26.913,28.204,0.039,82,443,859,28,6,1793,477,883,vase,0.45,0.45,0.003
92,subject_greenroom.tif,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,1106.451,40.671,41.963,0.052,21,2395,5379,241,11,14623,2922,526,desk,0.67,0.7,0.035
93,subject_jellyfish.png,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,54.498,25.243,26.535,0.019,72,563,990,15,4,1392,597,107,jellyfish,1.0,1.0,0.0
94,subject_partial_dog.webp,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,23.761,12.975,14.265,0.035,36,187,275,7,2,422,148,253,basenji,0.17,0.2,0.13
